datetime,payload_callsign,lat,lon,alt,acc_x,acc_y,batt,ext_humidity,ext_pressure,frame,rot_x,rot_y,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-07-12T17:36:02.000000Z,StratoScience,42.23953628540039,-71.23284912109375,11101,0.0,0.0,2.8823529411764706,14,243.9,802,-5,-4,13,91,21,2025-07-12T17:36:07.275145,0.0,APEX-NEWBS,horusdemodlib,0.3.13,432.634081,Horus Binary v2,,-3.65,,"42.31588,-71.33435",Diamond X-30A,HorusDemodLib + Raspberry Pi 3B (432.635 MHz),2025-07-12T17:36:07.065433Z,8202220311240249F5284238778EC25D2B5B0D1593FBFFFCFF000087090E1AB4
2025-07-12T17:36:02.000000Z,StratoScience,42.23953628540039,-71.23284912109375,11101,0.0,0.0,2.8823529411764706,14,243.9,802,-5,-4,13,91,21,2025-07-12T17:36:07.769979,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634658,Horus Binary v2,,-6.01,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:36:07.015078Z,8202220311240249F5284238778EC25D2B5B0D1593FBFFFCFF000087090E1AB4
2025-07-12T17:36:07.000000Z,StratoScience,42.23871612548828,-71.23225402832031,11147,0.01,0.0,2.8627450980392157,14,242.7,803,-3,-2,13,69,21,2025-07-12T17:36:19.148507,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634663,Horus Binary v2,,-7.32,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:36:12.050026Z,8202230311240772F42842EA768EC28B2B450D1592FDFFFEFF01007B090E18D3
2025-07-12T17:36:12.000000Z,StratoScience,42.23774719238281,-71.23165893554688,11183,0.03,0.0,2.8823529411764706,14,241.8,804,-1,-5,12,102,21,2025-07-12T17:36:21.433483,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634674,Horus Binary v2,,-6.73,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:36:17.000579Z,8202240311240C74F328429C768EC2AF2B660C1593FFFFFBFF030072090EE01A
2025-07-12T17:35:57.000000Z,StratoScience,42.24027633666992,-71.23390197753906,11051,0.0,0.0,2.9019607843137254,15,245.7,801,-3,-5,13,84,21,2025-07-12T17:36:03.377669,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634667,Horus Binary v2,,-7.01,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:36:01.981361Z,820221031123390BF62842C2778EC22B2B540D1594FDFFFBFF000099090F445B
2025-07-12T17:36:18.000000Z,StratoScience,42.23649978637695,-71.2306137084961,11215,0.0,-0.01,2.8823529411764706,14,240.5,805,-5,-2,13,107,21,2025-07-12T17:36:23.928983,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634676,Horus Binary v2,,-7.48,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:36:22.034985Z,820225031124122DF2284213768EC2CF2B6B0D1593FBFFFEFF00FF65090E8CC4
2025-07-12T17:36:23.000000Z,StratoScience,42.235530853271484,-71.22969055175781,11243,0.03,-0.01,2.8823529411764706,14,239.3,806,-1,-5,13,93,21,2025-07-12T17:36:28.159758,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634679,Horus Binary v2,,-7.37,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:36:27.580666Z,820226031124172FF128429A758EC2EB2B5D0D1593FFFFFBFF03FF59090E94EB
2025-07-12T17:36:28.000000Z,StratoScience,42.23476791381836,-71.22856140136719,11277,0.01,0.0,2.8823529411764706,14,238.2,807,0,-3,13,88,21,2025-07-12T17:36:33.556502,0.0,APEX-NEWBS,horusdemodlib,0.3.13,432.634081,Horus Binary v2,,-3.66,,"42.31588,-71.33435",Diamond X-30A,HorusDemodLib + Raspberry Pi 3B (432.635 MHz),2025-07-12T17:36:32.579922Z,8202270311241C67F0284206758EC20D2C580D15930000FDFF01004E090E9A85
2025-07-12T17:36:33.000000Z,StratoScience,42.23398208618164,-71.22764587402344,11314,0.02,-0.01,2.8627450980392157,14,236.8,808,-2,-3,13,97,21,2025-07-12T17:36:39.103680,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634673,Horus Binary v2,,-8.37,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:36:37.577943Z,8202280311242199EF28428E748EC2322C610D1592FEFFFDFF02FF40090E0042
2025-07-12T17:35:16.000000Z,StratoScience,42.24777603149414,-71.24077606201172,10755,0.02,0.0,2.9019607843137254,15,256.6,793,-3,-3,13,77,22,2025-07-12T17:35:23.033827,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634644,Horus Binary v2,,-9.21,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:35:20.850161Z,82021903112310B9FD2842477B8EC2032A4D0D1694FDFFFDFF0200060A0F322A
2025-07-12T17:35:26.000000Z,StratoScience,42.246055603027344,-71.23953247070312,10813,0.0,0.0,2.8823529411764706,15,253.4,795,-3,-2,13,77,22,2025-07-12T17:35:31.835817,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634652,Horus Binary v2,,-7.72,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:35:31.431513Z,82021B0311231AF6FB2842A47A8EC23D2A4D0D1693FDFFFEFF0000E6090F38CD
2025-07-12T17:37:29.000000Z,StratoScience,42.224754333496094,-71.21903991699219,11740,0.04,0.0,2.8823529411764706,14,222.4,819,0,-5,11,92,20,2025-07-12T17:37:34.125796,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634696,Horus Binary v2,,-4.01,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:37:33.732252Z,8202330311251D26E6284226708EC2DC2D5C0B14930000FBFF0400B0080EF173
2025-07-12T17:37:34.000000Z,StratoScience,42.22417449951172,-71.21822357177734,11776,0.01,0.0,2.8823529411764706,14,221.0,820,0,-3,12,86,19,2025-07-12T17:37:40.575844,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634698,Horus Binary v2,,-8.36,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:37:38.753710Z,820234031125228EE52842BB6F8EC2002E560C13930000FDFF0100A2080EC765
2025-07-12T17:37:49.000000Z,StratoScience,42.221336364746094,-71.21558380126953,11858,0.02,-0.01,2.8627450980392157,14,218.3,823,-2,-4,13,86,19,2025-07-12T17:37:55.798759,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634709,Horus Binary v2,,-7.97,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:37:54.204642Z,82023703112531A6E22842616E8EC2522E560D1392FEFFFCFF02FF87080E3E11
2025-07-12T17:37:44.000000Z,StratoScience,42.222225189208984,-71.21644592285156,11838,0.02,0.0,2.9019607843137254,14,219.3,822,-1,-2,13,94,19,2025-07-12T17:37:51.428897,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634693,Horus Binary v2,,-7.25,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:37:49.250343Z,8202360311252C8FE32842D26E8EC23E2E5E0D1394FFFFFEFF020091080E4AB4
2025-07-12T17:37:39.000000Z,StratoScience,42.22315216064453,-71.21739196777344,11810,0.01,-0.01,2.8627450980392157,14,220.1,821,-3,-3,13,96,19,2025-07-12T17:37:45.085570,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634705,Horus Binary v2,,-7.4,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:37:43.702451Z,8202350311252782E428424E6F8EC2222E600D1392FDFFFDFF01FF99080E4066
2025-07-12T17:37:24.000000Z,StratoScience,42.22536849975586,-71.22010040283203,11695,0.02,0.0,2.8823529411764706,14,223.6,818,-1,-6,13,82,20,2025-07-12T17:37:29.789813,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634693,Horus Binary v2,,-7.18,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:37:28.687716Z,82023203112518C7E62842B1708EC2AF2D520D1493FFFFFAFF0200BC080E05FE
2025-07-12T17:37:19.000000Z,StratoScience,42.22629928588867,-71.2207260131836,11662,0.03,-0.01,2.8823529411764706,14,224.9,817,-3,-5,13,82,20,2025-07-12T17:37:23.898435,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.635643,Horus Binary v2,,-3.27,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.635 MHz),2025-07-12T17:37:23.296988Z,82023103112513BBE7284203718EC28E2D520D1493FDFFFBFF03FFC9080ECD03
2025-07-12T17:37:14.000000Z,StratoScience,42.22709274291992,-71.22157287597656,11623,0.0,-0.02,2.8823529411764706,14,226.4,816,-4,0,13,85,20,2025-07-12T17:37:20.773192,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634699,Horus Binary v2,,-7.59,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:37:18.706377Z,8202300311250E8BE8284272718EC2672D550D1493FCFF000000FED8080E00E3
2025-07-12T17:38:35.000000Z,StratoScience,42.21393585205078,-71.21039581298828,12154,0.03,-0.01,2.8627450980392157,14,208.7,832,-1,-3,13,67,18,2025-07-12T17:38:40.903896,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634715,Horus Binary v2,,-8.01,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:38:40.277852Z,8202400311262312DB2842B96B8EC27A2F430D1292FFFFFDFF03FF27080E265A
2025-07-12T17:38:51.000000Z,StratoScience,42.21195602416992,-71.20806121826172,12284,0.01,-0.03,2.8823529411764706,13,204.6,835,-2,-4,13,72,18,2025-07-12T17:38:56.707778,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.635637,Horus Binary v2,,0.36,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.635 MHz),2025-07-12T17:38:55.285968Z,820243031126330BD92842876A8EC2FC2F480D1293FEFFFCFF01FDFE070DE53D
2025-07-12T17:38:46.000000Z,StratoScience,42.212608337402344,-71.20903015136719,12246,0.02,0.0,2.8823529411764706,14,205.5,834,-1,-3,13,57,18,2025-07-12T17:38:52.327620,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634714,Horus Binary v2,,-8.52,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:38:50.343145Z,8202420311262EB6D92842066B8EC2D62F390D1293FFFFFDFF020007080EE709
2025-07-12T17:38:56.000000Z,StratoScience,42.21128845214844,-71.20730590820312,12324,0.02,0.0,2.8823529411764706,14,203.5,836,-1,-7,13,70,18,2025-07-12T17:39:02.009406,,W0MXX-CHASE,horusdemodlib,0.3.14,432.634712,Horus Binary v2,,-8.21,,,Your Antenna Description Here,HorusDemodLib + Your Radio Description Here (432.635 MHz),2025-07-12T17:39:00.327695Z,820244031126385CD82842246A8EC22430460D1293FFFFF9FF0200F3070EF062
