datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T17:31:13.000000Z,APEX-1-T,42.78969955444336,-71.4349136352539,916,0.0,1.6470588235294117,2,915.1,61.9,582,15,21,61,2025-06-21T17:31:19.358348,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615471,Horus Binary v2,,-7.27,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:18.586423Z,59034602111F0DA7282B42ADDE8EC29403150F3D5400006B0202BF2300003238
2025-06-21T17:31:18.000000Z,APEX-1-T,42.78964614868164,-71.4345703125,947,0.0,1.6666666666666667,2,911.8,61.9,583,15,16,61,2025-06-21T17:31:25.643608,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.61548,Horus Binary v2,,-7.88,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:23.607874Z,59034702111F1299282B4280DE8EC2B303100F3D5500006B02029E230000099A
2025-06-21T17:31:23.000000Z,APEX-1-T,42.78956985473633,-71.43431091308594,981,0.0,1.6470588235294117,2,908.2,61.8,584,15,17,61,2025-06-21T17:31:29.789487,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615478,Horus Binary v2,,-7.09,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:28.656766Z,59034802111F1785282B425EDE8EC2D503110F3D5400006A02027A230000DFBC
2025-06-21T17:31:28.000000Z,APEX-1-T,42.789466857910156,-71.43397521972656,1017,0.0,1.6470588235294117,2,904.2,61.8,585,15,20,61,2025-06-21T17:31:33.916862,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.61547,Horus Binary v2,,-8.09,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:33.679624Z,59034902111F1C6A282B4232DE8EC2F903140F3D5400006A020252230000B6C2
2025-06-21T17:30:58.000000Z,APEX-1-T,42.789859771728516,-71.43565368652344,825,0.0,1.6470588235294117,2,924.4,62.1,579,15,20,62,2025-06-21T17:31:05.189867,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615474,Horus Binary v2,,-3.16,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:03.642557Z,59034302111E3AD1282B420EDF8EC23903140F3E5400006D02021C2400002E92
2025-06-21T17:31:53.000000Z,APEX-1-T,42.78907775878906,-71.43257141113281,1183,0.0,1.6470588235294117,2,887.2,61.5,590,15,13,61,2025-06-21T17:32:00.658472,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615489,Horus Binary v2,,-6.28,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:58.686466Z,59034E02111F3504282B427ADD8EC29F040D0F3D540000670202A8220000CBE7
2025-06-21T17:31:33.000000Z,APEX-1-T,42.78938674926758,-71.43363952636719,1053,0.0,1.6666666666666667,2,900.4,61.7,586,15,18,61,2025-06-21T17:31:40.061951,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615465,Horus Binary v2,,-6.87,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:38.628072Z,59034A02111F2155282B4206DE8EC21D04120F3D5500006902022C230000B887
2025-06-21T17:31:38.000000Z,APEX-1-T,42.789344787597656,-71.43334197998047,1087,0.0,1.6470588235294117,2,896.9,61.7,587,15,16,61,2025-06-21T17:31:44.236869,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615476,Horus Binary v2,,-7.48,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:43.675727Z,59034B02111F264A282B42DFDD8EC23F04100F3D540000690202092300008EB6
2025-06-21T17:31:43.000000Z,APEX-1-T,42.78927230834961,-71.4331283569336,1123,0.0,1.6470588235294117,2,893.4,61.6,588,15,13,61,2025-06-21T17:31:50.363024,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615468,Horus Binary v2,,-6.88,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:48.709604Z,59034C02111F2B37282B42C3DD8EC263040D0F3D540000680202E622000056D0
2025-06-21T17:31:48.000000Z,APEX-1-T,42.789146423339844,-71.43285369873047,1156,0.0,1.6470588235294117,2,890.2,61.6,589,15,21,61,2025-06-21T17:31:54.516952,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615476,Horus Binary v2,,-6.24,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:31:53.660001Z,59034D02111F3016282B429FDD8EC28404150F3D540000680202C62200007AD8
