datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T17:31:31.000000Z,APEX-2-T,42.78984832763672,-71.43388366699219,1119,0.0,1.6274509803921569,14,893.0,51.1,238,15,14,51,2025-06-21T17:31:37.371463,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625987,Horus Binary v2,,-2.23,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:31:36.252737Z,5B03EE00111F1FCE282B4226DE8EC25F040E0F33530000FF010EE22200002428
2025-06-21T17:31:21.000000Z,APEX-2-T,42.7900505065918,-71.43453216552734,1046,0.0,1.6470588235294117,14,900.3,51.8,236,15,19,51,2025-06-21T17:31:27.218343,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625962,Horus Binary v2,,-1.22,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:31:26.166651Z,5B03EC00111F1503292B427BDE8EC21604130F3354000006020E2B230000B5C9
2025-06-21T17:36:46.000000Z,APEX-2-T,42.77142333984375,-71.39788055419922,3186,0.0,1.607843137254902,7,694.7,41.6,301,15,53,41,2025-06-21T17:36:52.512789,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626128,Horus Binary v2,,-0.12,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:36:51.300936Z,5B032D0111242EF0152B42B7CB8EC2720C350F29520000A00107231B00009DBA
2025-06-21T17:36:21.000000Z,APEX-2-T,42.773475646972656,-71.40104675292969,3004,0.0,1.6274509803921569,8,710.6,42.0,296,15,53,42,2025-06-21T17:36:28.349292,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626359,Horus Binary v2,,-3.0,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:36:26.300869Z,5B0328011124150A182B4256CD8EC2BC0B350F2A530000A40108C21B0000452A
2025-06-21T17:36:51.000000Z,APEX-2-T,42.771060943603516,-71.39716339111328,3225,0.0,1.6274509803921569,7,691.4,41.5,302,15,50,41,2025-06-21T17:36:56.648565,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626122,Horus Binary v2,,2.64,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:36:56.338393Z,5B032E0111243391152B4259CB8EC2990C320F295300009F0107021B0000FE47
2025-06-21T17:40:21.000000Z,APEX-2-T,42.752506256103516,-71.36884307861328,4778,0.0,1.607843137254902,5,568.4,36.2,344,16,50,36,2025-06-21T17:40:28.034842,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626126,Horus Binary v2,,-0.52,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:40:26.428157Z,5B03580111281591022B42D9BC8EC2AA123210245200006A01053416000071B5
2025-06-21T17:43:31.000000Z,APEX-2-T,42.730133056640625,-71.33477020263672,6152,0.0,1.588235294117647,5,475.1,30.5,382,17,65,30,2025-06-21T17:43:37.255256,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626077,Horus Binary v2,,6.11,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:43:36.284704Z,5B037E01112B1FA8EB2A4267AB8EC2081841111E5100003101058F1200003824
2025-06-21T17:43:26.000000Z,APEX-2-T,42.730770111083984,-71.3354721069336,6119,0.0,1.588235294117647,5,476.9,30.6,381,17,55,30,2025-06-21T17:43:33.136097,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626069,Horus Binary v2,,7.29,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:43:31.350996Z,5B037D01112B1A4FEC2A42C3AB8EC2E71737111E510000320105A11200003A94
2025-06-21T17:47:36.000000Z,APEX-2-T,42.69095993041992,-71.29725646972656,8014,0.0,1.5098039215686274,5,367.8,24.9,431,17,103,24,2025-06-21T17:47:42.618212,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626012,Horus Binary v2,,2.59,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:47:41.369767Z,5B03AF01112F248BC32A4232988EC24E1F6711184D0000F900055E0E00009EED
2025-06-21T17:47:16.000000Z,APEX-2-T,42.69490432739258,-71.30027770996094,7857,0.0,1.5098039215686274,5,376.3,25.5,427,17,72,25,2025-06-21T17:47:22.482673,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.626012,Horus Binary v2,,3.91,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T17:47:21.320190Z,5B03AB01112F1095C72A42BE998EC2B11E4811194D0000FF0005B30E0000F5B9
