Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","1575AT43A0040","ANT_1575AT_JOT",145.196283,-39.057652,180.000000,top
"C1","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.502577,-53.840497,-90.000000,top
"C2","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",142.894561,-55.018579,180.000000,top
"C3","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.440000,-58.840000,135.000000,top
"C4","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.395000,-65.255000,0.000000,top
"C5","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.895000,-66.505000,0.000000,top
"C6","100 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",150.395000,-69.505000,-90.000000,top
"C7","10 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.145000,-69.755000,-90.000000,top
"C8","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",156.395000,-69.755000,-90.000000,top
"C9","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",148.681921,-77.333145,0.000000,top
"C10","100 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.050000,-78.050000,90.000000,top
"C11","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",150.305218,-76.681921,90.000000,top
"C12","10 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",143.638599,-80.800000,180.000000,top
"C13","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",157.995000,-58.615000,-90.000000,top
"C14","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",157.600000,-85.900000,90.000000,top
"C15","9.1 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",156.000000,-91.471250,-90.000000,top
"C16","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",157.200000,-88.200000,-90.000000,top
"C17","100 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",127.920231,-92.697138,90.000000,top
"C18","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",129.931512,-93.260000,90.000000,top
"C19","4.7 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",135.871627,-98.032616,-90.000000,top
"C20","8 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.418155,-95.216644,180.000000,top
"C21","100 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.274780,-96.023279,0.000000,top
"C22","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.382267,-95.648838,0.000000,top
"C23","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.100000,-88.200000,0.000000,top
"C24","6 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.410000,-97.621250,180.000000,top
"C25","100 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",130.497092,-98.186046,180.000000,top
"C26","100 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.750000,-93.200000,0.000000,top
"C27","5 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.413410,-100.215963,180.000000,top
"C28","1.5pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",151.725000,-40.583369,135.000000,top
"C29","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",150.695000,-73.315000,180.000000,top
"C30","100 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.500000,-78.100000,90.000000,top
"D1","Success","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",143.750000,-106.250000,-90.000000,top
"D2","Error","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.750000,-106.250000,-90.000000,top
"D3","Power","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",147.750000,-106.250000,-90.000000,top
"FB1","BLM18AG121SN1D","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",127.865000,-97.365000,90.000000,top
"J7","USBC","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",132.676776,-103.010139,0.000000,top
"L1","3.9 nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",151.021015,-38.935402,-135.000000,top
"L2","2.2uH","LPS3015222MRB",150.815000,-65.005000,180.000000,top
"L3","220 nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",156.517022,-89.867029,180.000000,top
"L4","14 nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",156.000000,-93.898750,-90.000000,top
"L5","14 nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",156.000000,-96.398750,-90.000000,top
"L6","14 nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",156.000000,-98.898750,-90.000000,top
"L7","14 nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",156.000000,-101.471250,-90.000000,top
"L8","3.9 nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",153.235000,-41.383369,-135.000000,top
"R1","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.509334,-51.589349,-90.000000,top
"R2","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",142.872072,-54.041843,180.000000,top
