Designator,Footprint,Quantity,Value,LCSC Part #
AE1,GPS1003,1,GPS1003,C239243
"C1, C14",0603,2,10uF,C19702
"C10, C17, C25, C26, C6",0402,5,100 nF,C1525
"C11, C18, C2, C22, C3",0402,5,1uF,C52923
"C12, C7",0603,2,10 uF,C19702
"C13, C21",0402,2,100 pF,C1546
C15,0402,1,9.1 pF,C161337
"C16, C23, C28, C5, C8, C9",0402,6,100nF,C1525
C19,0805,1,4.5 nF,C1744
C20,0402,1,15 pF,C1548
C24,0402,1,12 pF,C1547
C27,0402,1,10 pF,C32949
C29,0603,1,470 pF,C1620
C4,0603,1,22uF,C59461
D1,0805,1,Success,C2297
D2,0805,1,Error,C84256
D3,0805,1,Power,C84256
FB1,0603,1,BLM18AG121SN1D,C76892
J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USBC,C136423
"L1, L4",0402,2,33 nH,C307609
L2,LPS3015222MRB,1,2.2uH,C2844756
L3,0402,1,220 nH,C275307
L5,0402,1,30 nH,C341687
L6,0402,1,36 nH,C167476
L7,0402,1,22 nH,C86129
L8,0402,1,6.8 nH,C108260
"R1, R2",0402,2,10k,C25744
"R10, R12",0805,2,5k1,C27834
"R11, R3, R5, R6",0402,4,1M,C26083
"R13, R14, R15",0603,3,330,C23138
R4,0402,1,180k,C100276
R7,0402,1,220,C25091
"R8, R9",0603,2,1.8k,C4177
SW1,SW_SPDT_PCM12,1,Power Switch,C963206
SW2,SW_SPST_CK_RS282G05A3,1,RST,C2888954
U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U2,ATGM336H,1,ATGM336H,C5117921
U3,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,C140320
U4,KDS-1XZA032768AD19,1,1XZA032768AD19,C213398
U5,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,C78624
U7,MCP1700,1,Linear Step-Down,C632000
U8,OSC_ECS-TXO-32CSMV-260-AN-TR,1,~,C135223
U9,DFN-6_L1.6-W1.0-P0.55-BL,1,~,C92450
