Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,GPS1003,GPS1003,156.5,-45.323,-90,top
AE2,TX Antenna,Antenna_Whip,153.911023,-97.80779,0,top
C1,4.5 nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.381627,-93.242616,-90,top
C2,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.894561,-55.018579,180,top
C3,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.747092,-97.936046,180,top
C4,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.170231,-92.447138,90,top
C5,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.732267,-95.942151,0,top
C6,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.181512,-92.453313,90,top
C7,10 uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.798491,-78.138599,90,top
C8,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.681921,-76.133145,0,top
C9,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.25,-76.75,-90,top
C10,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.681921,-77.094782,180,top
C11,100 pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.482022,-80.286216,180,top
C12,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,150.395,-69.505,-90,top
C13,10 uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.145,-69.755,-90,top
C14,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.25,-87.5,180,top
C15,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,146.25,-58.25,90,top
C16,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,156.395,-69.755,-90,top
C17,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.395,-65.255,0,top
