Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,GPS1003,GPS1003,150.000000,-45.823000,180.000000,top
C1,4.5 nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.381627,-93.242616,-90.000000,top
C2,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.894561,-55.018579,180.000000,top
C3,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.747092,-97.936046,180.000000,top
C4,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.170231,-92.447138,90.000000,top
C5,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.732267,-95.942151,0.000000,top
C6,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.181512,-92.453313,90.000000,top
C7,10 uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.798491,-78.138599,90.000000,top
C8,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.681921,-76.133145,0.000000,top
C9,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.250000,-76.750000,-90.000000,top
C10,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.681921,-77.094782,180.000000,top
C11,100 pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.482022,-80.286216,180.000000,top
C12,100 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,150.395000,-69.505000,-90.000000,top
C13,10 uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.145000,-69.755000,-90.000000,top
C14,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.250000,-87.500000,180.000000,top
C15,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,146.250000,-58.250000,90.000000,top
C16,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,156.395000,-69.755000,-90.000000,top
C17,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.395000,-65.255000,0.000000,top
C18,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.250000,-97.500000,180.000000,top
